"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"1","Framework Hardening","0","Reporting Insights","0","0","Framework validation","0"
"0","Framework Hardening","0","Reporting Insights","1","0","Categories","0"
"0","Framework Hardening","0","Reporting Insights","0","1","Conditional execution","0"
"0","Framework Hardening","1","Reporting Insights","0","0","Business rule validation","0"
"0","Framework Hardening","0","Reporting Insights","1","0","Executive overview","0"
"0","Framework Hardening","0","Reporting Insights","1","0","Environment metadata","0"
